player_name,team,gp,ppg,rpg,apg,spg,bpg,fg_pct,fg3_pct,ts_pct,fga,fgm,fg3a,fg3m,rim_a,rim_m,short_a,short_m,mid_a,mid_m,long2_a,long2_m,c3n_a,c3n_m,c3m_a,c3m_m,c3d_a,c3d_m
Joel Embiid,PHI,58,33.4,10.0,4.1,1.9,1.4,0.549,0.318,0.655,1174,645.0,179.0,57.0,386.0,288.0,143.0,61.0,272.0,147.0,194.0,92.0,48.0,18.0,55.0,20.0,76.0,19.0
Luka Doncic,DAL,57,32.5,8.8,7.9,2.6,0.7,0.493,0.334,0.606,1265,624.0,470.0,157.0,290.0,206.0,232.0,135.0,194.0,100.0,79.0,26.0,122.0,44.0,160.0,47.0,188.0,66.0
Damian Lillard,POR,55,32.3,4.8,7.2,2.3,0.8,0.462,0.371,0.643,1146,529.0,630.0,234.0,318.0,200.0,74.0,33.0,54.0,27.0,70.0,35.0,104.0,40.0,168.0,70.0,358.0,124.0
Shai Gilgeous-Alexander,OKC,64,31.4,4.7,5.5,1.8,1.4,0.513,0.342,0.627,1300,667.0,158.0,54.0,502.0,315.0,209.0,87.0,317.0,168.0,114.0,43.0,40.0,18.0,72.0,25.0,46.0,11.0
Giannis Antetokounmpo,MIL,59,31.0,11.9,5.7,1.4,1.3,0.549,0.264,0.6,1204,661.0,159.0,42.0,705.0,511.0,126.0,33.0,94.0,30.0,120.0,45.0,27.0,8.0,65.0,20.0,67.0,14.0
Jayson Tatum,BOS,68,29.7,8.7,4.6,1.6,0.8,0.47,0.349,0.609,1408,662.0,616.0,215.0,446.0,305.0,168.0,73.0,86.0,33.0,92.0,36.0,189.0,78.0,232.0,75.0,195.0,62.0
Stephen Curry,GSW,46,29.5,6.0,6.2,1.9,0.7,0.497,0.424,0.657,936,465.0,524.0,222.0,155.0,115.0,125.0,63.0,57.0,33.0,75.0,32.0,102.0,50.0,153.0,67.0,269.0,105.0
Kevin Durant,BKN,44,29.1,6.7,4.8,2.3,0.5,0.561,0.421,0.68,801,449.0,214.0,90.0,104.0,82.0,91.0,56.0,238.0,135.0,154.0,86.0,76.0,34.0,79.0,32.0,59.0,24.0
Donovan Mitchell,CLE,59,28.9,4.1,4.4,1.9,0.8,0.483,0.385,0.613,1247,602.0,561.0,216.0,316.0,213.0,137.0,69.0,98.0,50.0,135.0,54.0,149.0,51.0,220.0,91.0,192.0,74.0
LeBron James,LAL,48,28.8,8.4,7.0,2.1,0.9,0.503,0.321,0.585,1060,533.0,327.0,105.0,428.0,308.0,98.0,41.0,89.0,29.0,118.0,50.0,89.0,35.0,108.0,32.0,130.0,38.0
Devin Booker,PHX,47,27.6,4.5,5.7,1.7,0.7,0.489,0.347,0.596,951,465.0,291.0,101.0,187.0,120.0,121.0,59.0,202.0,113.0,150.0,72.0,88.0,35.0,128.0,43.0,75.0,23.0
Kyrie Irving,BKN,56,27.2,5.0,5.7,1.2,0.9,0.491,0.372,0.61,1133,556.0,465.0,173.0,231.0,154.0,138.0,70.0,182.0,102.0,117.0,57.0,158.0,68.0,183.0,62.0,124.0,43.0
Trae Young,ATL,64,27.1,2.9,10.3,3.1,1.1,0.437,0.34,0.58,1243,543.0,409.0,139.0,267.0,146.0,208.0,82.0,200.0,106.0,159.0,70.0,85.0,32.0,120.0,40.0,204.0,67.0
Anthony Davis,LAL,49,26.5,13.0,2.7,0.9,1.0,0.562,0.239,0.622,870,489.0,67.0,16.0,400.0,293.0,169.0,83.0,122.0,56.0,112.0,41.0,17.0,4.0,27.0,5.0,23.0,7.0
