player_name,position,height,weight,team,jersey,from_year,to_year,school,country,draft_year,hof75
Precious Achiuwa,Forward,6-8,225,Raptors,5,2020,2023,Memphis,Nigeria,2020,0
Steven Adams,Center,6-11,265,Grizzlies,4,2013,2023,Pittsburgh,New Zealand,2013,0
Ochai Agbaji,Guard,6-5,215,Jazz,30,2022,2023,Kansas,USA,2022,0
Santi Aldama,Forward-Center,7-0,215,Grizzlies,7,2021,2023,Loyola-Maryland,Spain,2021,0
Grayson Allen,Guard,6-4,198,Bucks,12,2018,2023,Duke,USA,2018,0
Jarrett Allen,Center,6-9,243,Cavaliers,31,2017,2023,Texas,USA,2017,0
Jose Alvarado,Guard,6-0,179,Pelicans,15,2021,2023,Georgia Tech,USA,,0
Giannis Antetokounmpo,Forward,7-0,243,Bucks,34,2013,2023,Filathlitikos,Greece,2013,1
Thanasis Antetokounmpo,Forward,6-7,219,Bucks,43,2015,2023,Panathinaikos,Greece,2014,0
Cole Anthony,Guard,6-3,185,Magic,50,2020,2023,North Carolina,USA,2020,0
O.G. Anunoby,Forward,6-7,232,Raptors,3,2017,2023,Indiana,United Kingdom,2017,0
D.J. Augustin,Guard,5-11,183,Rockets,4,2008,2023,Texas-Austin,USA,2008,0
Deni Avdija,Forward,6-9,210,Wizards,9,2020,2023,Maccabi Tel Aviv,Israel,2020,0
Deandre Ayton,Center,7-0,250,Suns,22,2018,2023,Arizona,Bahamas,2018,0
Udoka Azubuike,Center-Forward,6-11,270,Jazz,20,2020,2023,Kansas,Nigeria,2020,0
Ibou Badji,Center,7-1,240,Trail Blazers,41,2022,2023,FC Barcelona,Senegal,,0
Marvin Bagley III,Forward,6-10,235,Pistons,35,2018,2023,Duke,USA,2018,0
Patrick Baldwin Jr.,Forward,6-9,220,Warriors,7,2022,2023,Wisconsin-Milwaukee,USA,2022,0
LaMelo Ball,Guard,6-7,180,Hornets,1,2020,2023,Illawarra,USA,2020,0
Lonzo Ball,Guard,6-6,190,Bulls,2,2017,2023,UCLA,USA,2017,0
Paolo Banchero,Forward,6-10,250,Magic,5,2022,2023,Duke,USA,2022,0
Desmond Bane,Guard,6-5,215,Grizzlies,22,2020,2023,TCU,USA,2020,0
Dalano Banton,Forward,6-7,204,Raptors,45,2021,2023,Nebraska,Canada,2021,0
Scottie Barnes,Forward,6-8,225,Raptors,4,2021,2023,Florida State,USA,2021,0
RJ Barrett,Forward-Guard,6-6,214,Knicks,9,2019,2023,Duke,Canada,2019,0
Will Barton,Guard,6-5,181,Raptors,1,2012,2023,Memphis,USA,2012,0
Charles Bassey,Center-Forward,6-9,230,Spurs,28,2021,2023,Western Kentucky,Nigeria,2021,0
Keita Bates-Diop,Forward,6-8,229,Suns,31,2018,2023,Ohio State,USA,2018,0
Nicolas Batum,Guard-Forward,6-8,230,Clippers,33,2008,2023,Le Mans,France,2008,0
Darius Bazley,Forward,6-9,216,Suns,55,2019,2023,Princeton HS (OH),USA,2019,0
Bradley Beal,Guard,6-4,207,Suns,3,2012,2023,Florida,USA,2012,0
Malik Beasley,Guard,6-4,187,Lakers,5,2016,2023,Florida State,USA,2016,0
MarJon Beauchamp,Forward,6-7,199,Bucks,0,2021,2023,NBA G League Ignite,USA,2022,0
Davis Bertans,Forward,6-10,225,Mavericks,44,2016,2023,Baskonia,Latvia,2011,0
Saddiq Bey,Forward,6-7,215,Hawks,41,2020,2023,Villanova,USA,2020,0
Goga Bitadze,Center-Forward,6-11,250,Magic,88,2019,2023,Mega Basket,Georgia,2019,0
Bismack Biyombo,Center,6-8,255,Suns,18,2011,2023,Baloncesto Fuenlabrada,DRC,2011,0
Bogdan Bogdanovic,Guard,6-5,225,Hawks,13,2017,2023,Fenerbahce,Serbia,2014,0
Bojan Bogdanovic,Forward,6-7,226,Pistons,44,2014,2023,Fenerbahce,Croatia,2011,0
Brandon Boston Jr.,Guard,6-6,188,Clippers,4,2021,2023,Kentucky,USA,2021,0
James Bouknight,Guard,6-4,190,Hornets,2,2021,2023,Connecticut,USA,2021,0
Malaki Branham,Forward,6-4,180,Spurs,22,2022,2023,Ohio State,USA,2022,0
Mikal Bridges,Guard-Forward,6-6,209,Nets,1,2018,2023,Villanova,USA,2018,0
Miles Bridges,Forward,6-7,225,Hornets,0,2018,2023,Michigan State,USA,2018,0
Oshae Brissett,Forward-Guard,6-7,210,Pacers,12,2019,2023,Syracuse,Canada,,0
Malcolm Brogdon,Guard,6-4,229,Celtics,13,2016,2023,Virginia,USA,2016,0
Kendall Brown,Guard,6-7,205,Pacers,10,2022,2023,Baylor,USA,2022,0
Thomas Bryant,Center-Forward,6-10,248,Heat,13,2017,2023,Indiana,USA,2017,0
Alec Burks,Guard,6-6,214,Pistons,5,2011,2023,Colorado,USA,2011,0
Jimmy Butler,Forward,6-7,230,Heat,22,2011,2023,Marquette,USA,2011,0
John Butler Jr.,Forward,7-0,190,Trail Blazers,21,2022,2023,Florida State,USA,,0
Kentavious Caldwell-Pope,Guard,6-5,204,Nuggets,5,2013,2023,Georgia,USA,2013,0
