abbr,team_name,conference,gp,wins,losses,win_pct,ortg,drtg,net,pace,efg
BOS,Boston Celtics,East,82,57.0,25.0,0.695,115.7,108.8,7.0,101.9,0.567
CLE,Cleveland Cavaliers,East,82,51.0,31.0,0.622,113.7,107.7,6.0,98.7,0.558
PHI,Philadelphia 76ers,East,82,54.0,28.0,0.659,115.5,110.2,5.2,99.8,0.563
MEM,Memphis Grizzlies,West,82,51.0,31.0,0.622,112.3,108.3,4.0,104.1,0.541
DEN,Denver Nuggets,West,82,53.0,29.0,0.646,115.0,111.7,3.3,100.7,0.574
MIL,Milwaukee Bucks,East,82,58.0,24.0,0.707,112.8,109.4,3.3,103.7,0.556
NYK,New York Knicks,East,82,47.0,35.0,0.573,114.9,111.8,3.1,101.0,0.542
SAC,Sacramento Kings,West,82,48.0,34.0,0.585,117.0,114.1,2.9,103.2,0.573
CHI,Chicago Bulls,East,82,40.0,42.0,0.488,111.7,109.4,2.3,101.3,0.552
BKN,Brooklyn Nets,East,82,45.0,37.0,0.549,113.0,110.9,2.1,100.3,0.564
GSW,Golden State Warriors,West,82,44.0,38.0,0.537,113.5,111.4,2.1,104.8,0.572
PHX,Phoenix Suns,West,82,45.0,37.0,0.549,112.1,110.1,2.1,101.3,0.536
NOP,New Orleans Pelicans,West,82,42.0,40.0,0.512,111.8,109.9,1.9,102.3,0.544
OKC,Oklahoma City Thunder,West,82,40.0,42.0,0.488,112.3,111.4,0.8,104.6,0.532
TOR,Toronto Raptors,East,82,41.0,41.0,0.5,112.2,111.4,0.8,100.6,0.518
LAC,Los Angeles Clippers,West,82,44.0,38.0,0.537,112.4,112.0,0.4,101.1,0.553
LAL,Los Angeles Lakers,West,82,43.0,39.0,0.524,111.8,111.5,0.3,104.8,0.544
DAL,Dallas Mavericks,West,82,38.0,44.0,0.463,114.3,114.0,0.3,99.9,0.567
ATL,Atlanta Hawks,East,82,41.0,41.0,0.5,113.9,113.6,0.3,104.0,0.543
MIN,Minnesota Timberwolves,West,82,42.0,40.0,0.512,111.3,111.1,0.2,104.0,0.562
MIA,Miami Heat,East,82,44.0,38.0,0.537,110.4,110.6,-0.2,99.2,0.531
UTA,Utah Jazz,West,82,37.0,45.0,0.451,112.7,113.8,-1.1,103.9,0.549
WAS,Washington Wizards,East,82,35.0,47.0,0.427,111.5,113.3,-1.8,101.5,0.552
ORL,Orlando Magic,East,82,34.0,48.0,0.415,109.0,111.5,-2.4,102.2,0.534
POR,Portland Trail Blazers,West,82,33.0,49.0,0.402,112.0,116.0,-4.0,101.2,0.55
IND,Indiana Pacers,East,82,35.0,47.0,0.427,111.0,115.4,-4.4,104.8,0.546
CHA,Charlotte Hornets,East,82,27.0,55.0,0.329,106.7,112.6,-5.9,104.0,0.518
DET,Detroit Pistons,East,82,17.0,65.0,0.207,107.8,116.1,-8.2,102.3,0.521
HOU,Houston Rockets,West,82,22.0,60.0,0.268,107.7,116.9,-9.2,102.8,0.516
SAS,San Antonio Spurs,West,82,22.0,60.0,0.268,107.2,117.7,-10.5,105.4,0.528
