abbr,fga,rim_share,three_share,mid_share
ATL,6774,33.8,32.8,33.5
BKN,6109,30.7,39.8,29.5
BOS,6738,34.3,47.8,18.0
CHA,6896,39.2,36.0,24.8
CHI,6343,36.4,33.2,30.4
CLE,5971,38.1,37.0,24.9
DAL,6159,28.8,48.6,22.7
DEN,6655,39.5,36.1,24.4
DET,6032,34.9,37.6,27.5
GSW,6391,33.7,48.3,18.0
HOU,6477,45.2,35.6,19.2
IND,6267,37.8,41.2,21.0
LAC,6651,33.3,38.5,28.2
LAL,6427,39.4,35.0,25.5
MEM,6369,37.5,37.4,25.1
MIA,6223,30.0,40.9,29.1
MIL,6793,34.4,43.9,21.7
MIN,6375,39.7,37.9,22.4
NOP,6571,38.8,34.4,26.8
NYK,6627,32.1,40.1,27.9
OKC,7227,38.7,37.0,24.3
ORL,6550,39.3,35.8,24.8
PHI,6033,34.1,39.2,26.7
PHX,6660,30.0,36.6,33.4
POR,6575,38.1,41.4,20.5
SAC,6708,35.9,42.2,21.9
SAS,6798,37.7,34.9,27.4
TOR,6746,39.3,34.9,25.7
UTA,6909,36.6,42.1,21.3
WAS,6366,36.1,36.5,27.4
