abbr,team_name,conference,gp,wins,losses,win_pct,pts_for,pts_against,diff
MIL,Milwaukee Bucks,East,82,58.0,24.0,0.707,116.9,113.3,3.6
BOS,Boston Celtics,East,82,57.0,25.0,0.695,117.9,111.4,6.5
PHI,Philadelphia 76ers,East,82,54.0,28.0,0.659,115.2,110.9,4.3
DEN,Denver Nuggets,West,82,53.0,29.0,0.646,115.8,112.5,3.3
CLE,Cleveland Cavaliers,East,82,51.0,31.0,0.622,112.3,106.9,5.4
MEM,Memphis Grizzlies,West,82,51.0,31.0,0.622,116.9,113.0,3.9
SAC,Sacramento Kings,West,82,48.0,34.0,0.585,120.7,118.1,2.6
NYK,New York Knicks,East,82,47.0,35.0,0.573,116.0,113.1,2.9
BKN,Brooklyn Nets,East,82,45.0,37.0,0.549,113.4,112.5,0.9
PHX,Phoenix Suns,West,82,45.0,37.0,0.549,113.6,111.6,2.1
MIA,Miami Heat,East,82,44.0,38.0,0.537,109.5,109.8,-0.3
GSW,Golden State Warriors,West,82,44.0,38.0,0.537,118.9,117.1,1.8
LAC,Los Angeles Clippers,West,82,44.0,38.0,0.537,113.6,113.1,0.5
LAL,Los Angeles Lakers,West,82,43.0,39.0,0.524,117.2,116.6,0.6
NOP,New Orleans Pelicans,West,82,42.0,40.0,0.512,114.4,112.5,1.9
MIN,Minnesota Timberwolves,West,82,42.0,40.0,0.512,115.8,115.8,-0.0
ATL,Atlanta Hawks,East,82,41.0,41.0,0.5,118.4,118.1,0.3
TOR,Toronto Raptors,East,82,41.0,41.0,0.5,112.9,111.4,1.5
CHI,Chicago Bulls,East,82,40.0,42.0,0.488,113.1,111.8,1.3
OKC,Oklahoma City Thunder,West,82,40.0,42.0,0.488,117.5,116.4,1.1
DAL,Dallas Mavericks,West,82,38.0,44.0,0.463,114.2,114.1,0.1
UTA,Utah Jazz,West,82,37.0,45.0,0.451,117.1,118.0,-0.9
IND,Indiana Pacers,East,82,35.0,47.0,0.427,116.3,119.5,-3.2
WAS,Washington Wizards,East,82,35.0,47.0,0.427,113.2,114.4,-1.2
ORL,Orlando Magic,East,82,34.0,48.0,0.415,111.4,114.0,-2.6
POR,Portland Trail Blazers,West,82,33.0,49.0,0.402,113.4,117.4,-4.0
CHA,Charlotte Hornets,East,82,27.0,55.0,0.329,111.0,117.2,-6.2
HOU,Houston Rockets,West,82,22.0,60.0,0.268,110.7,118.6,-7.9
SAS,San Antonio Spurs,West,82,22.0,60.0,0.268,113.0,123.1,-10.0
DET,Detroit Pistons,East,82,17.0,65.0,0.207,110.3,118.5,-8.2
